Year Week,destination_state,Index YOY Change-Search-Hotel
"Apr 27, 2020 to May 3, 2020 (Week 18)",Maryland,-0.881133195
"Apr 27, 2020 to May 3, 2020 (Week 18)",Kansas,-0.821166021
"Apr 27, 2020 to May 3, 2020 (Week 18)",Indiana,-0.865468729
"Apr 27, 2020 to May 3, 2020 (Week 18)",Louisiana,-0.919428416
"Apr 27, 2020 to May 3, 2020 (Week 18)",Iowa,-0.927072044
"Apr 27, 2020 to May 3, 2020 (Week 18)",Idaho,-0.863504904
"May 4, 2020 to May 10, 2020 (Week 19)",Illinois,-0.873547013
"May 4, 2020 to May 10, 2020 (Week 19)",Maryland,-0.826015317
"May 4, 2020 to May 10, 2020 (Week 19)",Louisiana,-0.877749693
"May 4, 2020 to May 10, 2020 (Week 19)",Indiana,-0.817369388
"May 4, 2020 to May 10, 2020 (Week 19)",Hawaii,-0.656047227
"May 4, 2020 to May 10, 2020 (Week 19)",Kentucky,-0.703381769
"May 4, 2020 to May 10, 2020 (Week 19)",Idaho,-0.848230978
"May 4, 2020 to May 10, 2020 (Week 19)",Maine,-0.9542067
"May 4, 2020 to May 10, 2020 (Week 19)",Iowa,-0.890330771
"May 4, 2020 to May 10, 2020 (Week 19)",Kansas,-0.781801879
"May 11, 2020 to May 17, 2020 (Week 20)",Maryland,-0.776171898
"May 11, 2020 to May 17, 2020 (Week 20)",Hawaii,-0.647637684
"May 11, 2020 to May 17, 2020 (Week 20)",Kansas,-0.757965993
"May 11, 2020 to May 17, 2020 (Week 20)",Maine,-0.945608065
"May 11, 2020 to May 17, 2020 (Week 20)",Illinois,-0.865756687
"May 11, 2020 to May 17, 2020 (Week 20)",Louisiana,-0.872509256
"May 11, 2020 to May 17, 2020 (Week 20)",Iowa,-0.879136955
"May 11, 2020 to May 17, 2020 (Week 20)",Kentucky,-0.674239803
"May 11, 2020 to May 17, 2020 (Week 20)",Indiana,-0.804443703
"May 11, 2020 to May 17, 2020 (Week 20)",Idaho,-0.821414114
"May 18, 2020 to May 24, 2020 (Week 21)",Indiana,-0.717784383
"May 18, 2020 to May 24, 2020 (Week 21)",Kentucky,-0.602196506
"May 18, 2020 to May 24, 2020 (Week 21)",Idaho,-0.751028854
"May 18, 2020 to May 24, 2020 (Week 21)",Kansas,-0.693835262
"May 18, 2020 to May 24, 2020 (Week 21)",Louisiana,-0.804766005
"May 18, 2020 to May 24, 2020 (Week 21)",Maryland,-0.699122444
"May 18, 2020 to May 24, 2020 (Week 21)",Illinois,-0.79352957
"May 18, 2020 to May 24, 2020 (Week 21)",Iowa,-0.80221437
"May 18, 2020 to May 24, 2020 (Week 21)",Maine,-0.880304233
"May 18, 2020 to May 24, 2020 (Week 21)",Hawaii,-0.709969952
"May 25, 2020 to May 31, 2020 (Week 22)",Idaho,-0.67030844
"May 25, 2020 to May 31, 2020 (Week 22)",Louisiana,-0.772396049
"May 25, 2020 to May 31, 2020 (Week 22)",Maryland,-0.639132629
"May 25, 2020 to May 31, 2020 (Week 22)",Iowa,-0.732806546
"May 25, 2020 to May 31, 2020 (Week 22)",Kentucky,-0.552248719
"May 25, 2020 to May 31, 2020 (Week 22)",Illinois,-0.763277583
"May 25, 2020 to May 31, 2020 (Week 22)",Kansas,-0.63972755
"May 25, 2020 to May 31, 2020 (Week 22)",Hawaii,-0.690055991
"May 25, 2020 to May 31, 2020 (Week 22)",Indiana,-0.657843678
"May 25, 2020 to May 31, 2020 (Week 22)",Maine,-0.815740717
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Hawaii,-0.69801803
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Iowa,-0.673779293
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Kentucky,-0.522654023
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Idaho,-0.655173552
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Maine,-0.735445964
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Maryland,-0.581048032
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Kansas,-0.566682827
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Louisiana,-0.683919898
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Illinois,-0.738412757
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Indiana,-0.627976067
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Louisiana,-0.558594536
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Indiana,-0.462716089
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Maryland,-0.444659545
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Illinois,-0.597195084
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Idaho,-0.491044366
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Iowa,-0.531339932
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Hawaii,-0.630166831
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Kansas,-0.413130464
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Maine,-0.56327148
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Kentucky,-0.383680618
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Hawaii,-0.719449332
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Kentucky,-0.420641132
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Indiana,-0.504757706
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Kansas,-0.472766616
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Iowa,-0.58929999
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Illinois,-0.619016371
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Idaho,-0.524478903
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Maryland,-0.559102723
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Louisiana,-0.66208728
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Maine,-0.559991673
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Hawaii,-0.626155312
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Maryland,-0.406599884
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Kansas,-0.34067926
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Maine,-0.423678696
